1306,Deus me defenderay	Neutro								
"10339,""A coisa que achei que faltou foi o resto dos Lannisters"	Ruim								
									
"E os outros 2 dragões"""	Neutro								
"1743,""Passei o dia sem óculos, depois eu fico com dor de cabeça não sei porque"""	Ruim								
15148,vou ficar mais 80 pq tá uma bosta	Ruim								
10742,AI MEU DEUS	Neutro								
"20406,""26 - nesses dois anos, vc foi a unica coisa boa na minha vida garoto, vc sabe q eu sempre vou te amar ne?"""	Bom								
14946,pq tem got https://t.co/ef1JFIgpWK	Ruim								
17773,Q saudade do vô neno	Bom								
16580,Eu só queria poder assistir esse episódio no cinema. #GoTS7	Ruim								
11259,preguiça&amp                                              	Neutro								
"2890,""De wifi ligado, eu me acalmei um pouco"""	Bom								
19319,#PonteAérea segue sendo meu filme brasileiro favorito ❤	Bom								
"1048,""essas minas magras q ficam postando foto e colocando de legenda """"gorda mesmo haha"""" me irritam num nível que meudeus..."""	Ruim								
"8883,""Amanhã começa sofrimento 🤦🏻‍♀️Dieta , maratona de Cardios e por aí vai 🙌🏻👊🏻"""	Neutro								
"16175,""You're just everything to me! I'm very proud to be your fan @dinahjane97 Follow me and fulfill my dream, I beg you please.🙏🖤 x275"""	Bom								
20251,Guilian é louco	Neutro								
"12630,""tell me tell me that you want me now "	Neutro								
"I'm yours completely"""	Bom								
4891,É A COISA MAIS FOFA QUE EU JÁ VI SOCORRO https://t.co/SMnEZ6tcPp	Bom								
"13435,""só queria ter ficado de boa vendo uns filmezinho e comendo sorvete hoje de tarde com o @, mas rolou tudo errado, tudinho msm"""	Ruim								
586,pq eu faço essas coisas comigo mesmo mano?	Ruim								
20355,Sono bom da porra	Bom								
20856,@iahgos @NeideImb Hilário e tocante. kkkkkkkk	Bom								
5714,Eu nunca fiquei tão empolgado com uma cenaaaaa	Bom								
11829,movies que eu não conferir ainda que logo conferirei VIDA LONGA AO #BJSHARE https://t.co/VYzVvqMGxe	Bom								
617,como pedir pro seu vô que você quer assistir game of thrones na tv google pesquisar	Neutro								
1150,va te tomar no cu rapaz	Ruim								
"18828,""I can’t be what you need"	Neutro								
I am stuck in a dream	Neutro								
Don’t you know	Neutro								
She’s been here all along	Neutro								
In a dream?	Neutro								
"She belongs in a dream"""	Bom								
2383,@juliasafadona Eu .	Bom								
14006,Esse ep teve 2min ou foi impressão msmo? #got	Ruim								
8757,Quem achava que o Zé era o culpado de tudo deve curtir o momento. Quem achava que o problema era mais complexo vai se preparar pro pior.	Ruim								
13631,Arrotando o almoço da minha sogra até agora 🤤	Neutro								
"23061,""Ótima noite. "	Bom								
"E um ótimo começo de semana ✔️✔️"""	Bom								
"8860,""Por mim, o Jon não se ajoelharia nunca pra Dany"	Ruim								
Jon rainha Daniele nadinha bjs	Bom								
"#GoTS7"""	Neutro								
17261,tem mt merda p acontece até o final do ano ainda q nossa	Ruim								
2863,@Eulmotta ate eu ne pai	Neutro								
"8050,""Ninguém se apega, só se pega"	Bom								
"Todo mundo louco"""	Neutro								
17153,caralho eu amo mto o bronn mas eu tbm amo muito o drogon... deve ser assim o sentimento de estar apaixonado por duas pessoas ao mesmo tempo	Bom								
9636,e o que eu quero mais é ser rei	Bom								
5481,Agora vou dormir pq amanhã tem trampo	Bom								
458,Q frio	Ruim								
22969,Ouvindo britney spears mas devia estar dormindo sim	Bom								
"8740,""Se deu certo boa, se não deu certo ótimo, próxima,  próxima. 😊😆"""	Bom								
10517,Esta com cheiro de eduardo batistinha. https://t.co/ZuBf0kCopt	Neutro								
20905,Gustavo vai me armar demais lek	Bom								
17281,Ver filme nesse frio com o Zé mané não tem preço ❤️	Bom								
12364,@iloveputarias @barbiesemken @alanisdvn não procede KKKKKKKKKKKKKKKKKKKKKK	Neutro								
"21189,""Se Deus fizer, ele é Deus.. se não fizer, ele é Deus"""	Neutro								
"22315,""Cansada, to"""	Ruim								
10029,@5SOS I'm waiting for it since 2013 i can't believe IT'S FUCKING HAPPENING	Neutro								
13896,QUEM https://t.co/dZ5hwTVjkJ	Neutro								
"14369,""é MUITO chato você estar sozinho com uma pessoa, e quando está com ela e outros amigos dela ela se transforma, finge que nem te conhece"""	Ruim								
17660,@naaribeiro7 Ou sabe á puta que pariu ? Vai pra la	Ruim								
10034,@fifthsantana Tenho que ela tirou da máquina dela e mandou pra minha cunhada tá sem editar vou mandar por dm aqui	Neutro								
10227,Aviso: Não estou assistindo #GoTS7	Neutro								
"4460,""Nos acertamos na letra a batida perfeita, a dama e o vagabundo"""	Bom								
797,alguem me da um tapa por favor	Neutro								
"1143,""Ontem foi tão bom, eu e o Igor, o Igor e eu, basta!!❤️"""	Bom								
"13485,""@ungaratto93 Não consegue, né"""	Neutro								
13516,Mano as mina tá batendo record de ser assaltada .. de sexta pra cá vi umas 10 postando q foi roubada	Ruim								
16528,#JornaldeDomingo |  Marchezan quer usar verbas dos BRTs para concluir obras da Copa @lucas_rivas @RdGuaibaOficial https://t.co/IiDkaK8jOX	Neutro								
"1069,""Assistir filme com a coroa , nada melhor"""	Bom								
22819,https://t.co/WvXMlTSeWX	Neutro								
7854,brienne e arya *mouthing* yas queens	Neutro								
"16176,""um dos melhores dias da minha vida. nunca estive tão certa da minha escolha, não posso mais viver sem isso ❤️ https://t.co/liVcRwciOJ"""	Bom								
22158,Mas vou tenta de todas formas não sentir	Bom								
22716,@viniciusrlima parabéns! ❤	Bom								
"22383,""bora arrumar as coisas ne, pq la vamos nos com o pontapé """"final"""" desse treco estressante chamado faculdade"""	Bom								
11760,Se eu contar pra vocês que eu fui pra eazy com o body do avesso vocês acreditam? Kkkkkkkkkkk	Ruim								
"1040,""A demissão​ do Zé Ricardo foi justa, mas não é o único culpado."	Neutro								
O principais são o jogadores, não estão rendendo.	Ruim								
"F… https://t.co/hSAOoAsMKC"""	Neutro								
4585,É difícil ser forte o tempo todo.	Ruim								
9929,don't harm my baby drogon	Neutro								
18107,Tô tão cansada de ser cobrada de uma coisa pra qual eu simplesmente não tenho condições financeiras pra fazer	Ruim								
19626,To sentindo que essa tag vai subir VIVIAN RUMO TRÊS MILHÕES	Bom								
"2806,""Vai tomar no cu, eu odeio frio. Quero Rio de Janeiro pelo amor de Deus"""	Ruim								
11050,esse ano foi uma decepção atrás da outra	Ruim								
"13051,""Gente, sério! Que fucking episódio foi esseeeeeeee!!!!!! #gots7 #GameOfThrones"""	Bom								
"12971,""se a limonada é uma vida, faça um castelo"""	Neutro								
"22475,""Estava c sdd dela, ainda bem q verei ela quarta novamente"""	Bom								
4586,Kkkkkkkkkkkkkkkkkk cadê ? https://t.co/DRwGCuiWCx	Bom								
12993,A Arya é uma diva ne? N consigo n amar essa querida. P mim ela tinha q ser a dona da porra td	Neutro								
17667,Eu realmente amo MUITO MUITO MUITO MUITO MUITO BTS	Bom								
13392,Bran sou eu tendo que lidar com os embustes do trabalho 😂	Neutro								
19737,spoilers na tl https://t.co/1T40JJnWyo	Neutro								
11661,KKKKKKKKKKKKKJJKKKKKKKKKKKKKKKKK NAO GUENTO	Bom								
2266,QUE SAUDADE BOA VENDO ESSAS FOTOS ❤️	Bom								
19620,Disgraça do Gabriel me deixou com vontade kkkkk	Bom								
10954,daydreaming daydreaming all the time	Bom								
22033,@HelpF5H @dinahjane97 hey Dinah... Please bb 😍💕	Neutro								
"5745,""@Fernandoreisaap já tem na net irmão, relaxa"""	Bom								
"12342,""Tive que perder pra aprender a dar valor pra você, entender seu amor.. mas não quer ser mais minha"""	Ruim								
"10671,""Se ela diz, quem sou eu para dizer o contrário 😂😂😂 https://t.co/goRkoOWlb3"""	Bom								
8438,@erikapl Jesus!!! Nessas horas a sensação de inutilidade diante da doença é imensa.	Ruim								
14077,Fds concluído com sucesso ✔	Neutro								
10968,Uma Noite Incrível.. E inesquecível.. Obrigada meu anjo 😚❤ https://t.co/HRQbTe4Te4	Bom								
9681,A C O N T E C E U	Neutro								
8850,Eu sou grossa mas odeio grosseria	Ruim								
2851,@spidrchoi kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkaaaaa mano namoral chataaaa	Bom								
12986,Já https://t.co/W2Qj6aPuiF	Ruim								
2158,ESSA VIDA https://t.co/tNsKjecY0s	Neutro								
20719,Eu a sophia como sempre no nossos roles dando aquele famoso pulo pra ir	Bom								
16305,nao da nem pra ficar em paz no twitter agora q ce ja leva 500 spoilers na cara	Ruim								
2836,sdds carnaval sdds	Bom								
21518,@BastardS_oul merece desculpa	Neutro								
12080,Got nao daaa	Neutro								
6431,Vi meu ex hj e o core ficou abaladinho	Neutro								
"9456,""You're just everything to me! I'm very proud to be your fan @dinahjane97 Follow me and fulfill my dream, I beg you please. x185"""	Bom								
17411,@Iag0Silva Vc adora um churros né kkk	Bom								
"7623,""KKKKKKKK EU CONCORDO"	Bom								
"@mochiyoongie https://t.co/TVPaVwPmBp"""	Neutro								
"9261,""gente eu tô berrando com esses dothraki gritando desse jeito "	Neutro								
"#GoTS7"""	Bom								
"8913,""@guedess_juliaa realmente, ainda falta p chegar em você"""	Neutro								
6230,Kkkkkkkkkkkkkkk https://t.co/OwgJcM0NSw	Neutro								
9407,Espero que tenha reunião essa semana e de preferência sexta feira	Bom								
"16081,""Pouco barba que nos tem, nos ja fica monstrão"""	Bom								
14355,Melhor país manas. https://t.co/mAg0qTV7cM	Neutro								
"8165,""amanha vou finalmente ver o desenho que vou fechar o braço e a mão, susu"""	Bom								
3192,@gbcorteletti HAHAHAHAHAHAHAH CHORA	Bom								
992,👩🏻‍⚕️ total	Neutro								
4144,fico até impressionada	Bom								
14729,depressão eh doença e fica essas babaca achando bonito ter	Ruim								
"6636,""Às vezes me bate uma saudade tão grande do César, q parece q eu não o vejo a meses 🤦🏻‍♀️"""	Ruim								
4383,Eu ouço a morte me chamar com um sorriso no rosto e o álcool na mente	Ruim								
1076,@Bruna_Flores automaticamente	Neutro								
6180,fiquei brincando com minha gatinha agora tô morrendo de alergia	Bom								
19970,Bday do cunhado. Passei o dia na casa do Fernando	Neutro								
8902,percebo q amg de vdd é so minha mae e mais uns 4 no max	Bom								
16038,Não mesmo https://t.co/yuBMcO9otX	Bom								
16704,Esse mano me stalkea😂❤	Ruim								
5825,uma mulher dessa bicho https://t.co/Dh7XIKkXDX	Neutro								
"12425,""minha mãe é muito exagerada, isso me irrita em um nível puta que pariu"""	Ruim								
8737,@5SOS berro aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa	Neutro								
"16985,""@babi E o ep ainda chama BLOOD OF THE DRAGON, tô tremeno"""	Neutro								
9074,@LF_Soneka exatamente!!!! impotência é a palavra exata	Bom								
10707,AAAAAAAA https://t.co/JXcbjiCTDK	Bom								
"3947,""Nossa, cara insensível da porra"""	Ruim								
3591,To feliz	Bom								
1269,@juuliacl bobaiona	Neutro								
"17451,""Nesta, na outra, no app de mensagens e na vida... https://t.co/lORyqn5FKv"""	Bom								
10534,se arrependimento matasse... kkkkkk	Bom								
7063,GOT chegou num ponto que morreu tanta gente que os favoritos tão até se conhecendo #GoTS7	Bom								
19466,meu pai salvou no lanche rssss	Bom								
12444,Agora podemos voltar a respirar... Que episódio foi esse meu Brasil #GameOfThrones	Neutro								
12873,🤔🙄🙄🙄🙄🙄🙄🙄	Neutro								
"13732,""and the puppy eyes too, the boy is everything in the animal world https://t.co/x8SgA6RpSW"""	Neutro								
4191,Eu achei é um absurdo @bieberespinosaz @felipeneto https://t.co/JnpMPbGeNi	Ruim								
4425,jorge vercilo é um poeta	Neutro								
15374,Aiii que derrota	Ruim								
"4630,""Gustavo acabou de ir embora,e eu já estou com saudades 😢"""	Ruim								
2155,Triste saber q amanhã já é segunda outra vez	Ruim								
"15120,""@Alvaro_nogue @Desconhecidos é q vc decide fazer """"greve"""" justo no dia q eu tava meio bad..."""	Neutro								
"7061,""@BTS_twt Ah, os outros também estão muito bonitos"""	Bom								
10584,aaaaaa pelo q eu vi minhas fotos tão maravilhosas eu já quero fazer outro ensaio	Bom								
"16740,""MEU DEUS, E SE A FLECHA ESTIVER ENVENENADA #GameOfThrones"""	Neutro								
18400,Nop https://t.co/Y7mDhNgNni	Neutro								
"14113,""Daniel melhor irmão sempre,aí amo"""	Bom								
989,n ta dando p ajudar ngn c a atual situação q eu to	Ruim								
23131,af que nojo quando eu vou sair dessa casa logo	Ruim								
"7601,""Mas deixe os nossos sentimentos se entregar nesse momento, antes de dizer adeus..."""	Bom								
303,tokinho e neymar 😍	Neutro								
14293,Tô morta	Ruim								
5038,https://t.co/Dv84ExZ0rc	Neutro								
"2797,""-Aninha a gente tem que pagar o doce primeiro"	Bom								
"-Pago nada *sai correndo com o chocolate na mão*"""	Ruim								
"5363,""You're just everything to me! I'm very proud to be your fan @dinahjane97 Follow me and fulfill my dream, I beg you please. x25"""	Bom								
9209,run jamie run	Ruim								
"12597,""Nossa, nunca gastei tanto dinheiro na minha vida 🤦🏼‍♂️"""	Ruim								
15286,Onde é o jet que eu tô voando	Neutro								
"1886,""Te gosto tanto, te amo o mesmo tanto... ❤💏"""	Bom								
15132,Só esperando outubro chegar para a melhor série retornar! #TWD	Bom								
"15144,""De um lado um personagem épico, um dos maiores de todos os tempos... "	Bom								
Do outro lado o Darth Vader.	Bom								
									
"#Vader… https://t.co/tC0HRXWSm7"""	Neutro								
3262,achei um link que só trava https://t.co/6njvGTX3zm	Neutro								
"7684,""Eu tava literalmente suave, mas aí a paula me estressou em segundos"""	Ruim								
684,Vai discutir comigo se eu quiser. Até pq vc q veio passar recibo aqui sem ser chamada 😂😂😂😂 https://t.co/1wMtfh3sr2	Ruim								
9729,@NaYdani Kkkkkkkkkkkkkkkkk	Bom								
2845,eu kkkkkkkk https://t.co/4J3ju0TQG9	Neutro								
23327,@paol3te A MENINA OU O MEU EX???	Neutro								
17230,impactada por esse amor 2.0 https://t.co/U844bCOySv	Bom								
18212,Tomorrow today https://t.co/X8XbC4yMTN	Neutro								
3260,@giubst inútil	Neutro								
19322,Tirei fotos hj	Neutro								
12482,Quero mt q amh a noite chegue ❤	Bom								
"11047,""FILHA"	Ruim								
DA	Ruim								
"PUTAAAAAAA"""	Ruim								
"14889,""To com saudade de você, vê se liga, quero te ver"""	Bom								
7361,@teamhtopsawards @lwtpolar parabens icone #htopsawards	Bom								
22368,Mais uma noite chorando por causa do passado...	Ruim								
"15859,""You're just everything to me! I'm very proud to be your fan @dinahjane97 Follow me and fulfill my dream, I beg you please.🙏🖤 x257"""	Bom								
3238,Quando eu acho que vou achar uma academia bem em conta levo uma facada dessa no coração	Ruim								
16847,@ju_vieira15 https://t.co/q4AoZDE9f7	Neutro								
"1904,""""""Oi eu ka!"""""""	Neutro								
8084,Sinto que tá rolando um clima... Rei do Norte e Rainha do Sul... devo ver muito dorama... shipando os dois baixinhos. #GoTS7	Bom								
"5623,""@karinasuetake ué,a 3h atrás estava reclamando... qq aconteceu? n to entendendo hhahahahahaahha 🤔🤔🤔🤔"""	Neutro								
1129,Nem me lembraaaaa https://t.co/VXFmWUgQEY	Ruim								
2854,😽 https://t.co/hQSgRONPkD	Neutro								
"10857,""é cada viadagem q eu vejo q mds,q vontade de vomitar"""	Ruim								
"3380,""@manudeputada @lucianagenro vcs q adoram o local ..quem se candidata p/ ajudar na cobertura."	Neutro								
"Manu.., leva sua filha https://t.co/ePuVIzZvd0"""	Ruim								
17826,Ficar naquele sol me deu uma dor de cabeça lascada	Ruim								
20769,Thayna tem umas amizades q ela precisa me apresentar mano slc	Neutro								
2994,K K K K K K K K K K K. alo https://t.co/xlbudbkRzD	Bom								
4031,Viado o que que tá acontecendo com Bran????? Quero arregaçar a cara desse muleque	Ruim								
10116,Demorei um ano pra entender pra quem era isso KKKKKKKK	Neutro								
13715,Sei falar haitiano e nem sabia bicho https://t.co/ni55RD8PRs	Bom								
19171,👽- parece ser gente boaaa	Neutro								
14063,saudades da minha mãe	Ruim								
3276,@vln_vera @G4B1S @Jesus__de__Pau @JanainaDoBrasil Qdo tiveres um filho(a) e injustamente a polícia entrar em sua re… https://t.co/pwYTVCtEAW	Neutro								
2318,😍😍 https://t.co/MtZnS8JPP0	Neutro								
11935,PUTA QUE PARIU AAAAAAA	Ruim								
17351,@NoronhaBruno7 SIM... inacreditável mas sim	Neutro								
22451,Pânico fazendo eu matar a saudade um pouco	Neutro								
3104,gospel primeiramente nem é de gente	Neutro								
14096,Jaime está cada dia mais parecido com Rodrigo Hilbert né https://t.co/8qJ4bFxmBI	Neutro								
"4030,""Amanhã tem Barcelona x Chapecoense "	Neutro								
									
"e eu aposto na vitória da Chape!"""	Neutro								
17024,tanta gente q eu queria q me chamasse de princesa e logo ele vem e me chama 🤦🏻‍♀️	Ruim								
5037,vc acaba vendo as coisas com outros olhos p ex geral reclama do transporte público aqui mas velho é mto boooom melhor metrô do mundo	Bom								
"21970,""Eu posso te bjar?"	Neutro								
									
"~Fe https://t.co/2VV347WZhq"""	Neutro								
8363,@_heyjunior_ a metade do casal q me ignora	Ruim								
"22660,""Jogos: 32"	Neutro								
Jogos como titular: 32	Neutro								
Jogos completos: 30	Neutro								
"Gols: 12 https://t.co/yUsSTETW3w"""	Neutro								
"17280,""@jacquelinedns falando mal de mim"	Ruim								
"Conhece a Larissa? Seloco..... aquela coluna dela KKKKKKKKKKK mais zoada que ela"""	Neutro								
"231,""Estou com medo desse nível que chegou... não chegue a esse nível, por favor!!! 😒 https://t.co/UBTPiQikV9"""	Neutro								
"20350,""Blz pessoal,só que não consigo ser hipócrita ao ponto de chegar na porta da igreja vestir uma máscara,sair dela e tira-lá!"""	Neutro								
16461,@Ela_Ama_Ela Eu sou bem cuzona...	Ruim								
"3318,""@prazervTo ta bom, voce me pegou.. eu tenho uma pontinha de saudade"""	Ruim								
7751,PODEM BATER PALMAS PRAS MELHORES PERSONAGENS DE GAME OF THRONES	Bom								
8240,mas queria tanto usar essa header	Neutro								
15619,Saudade dói	Ruim								
"3245,""primeiro que deram uma storyline pro parrish"	Neutro								
segundo que o pouco tempo de série q a lydia tem misturam com o parrish	Neutro								
"deus o q q eu te fiz"""	Neutro								
18166,🌹 https://t.co/amNBGw02Eh 🌹	Neutro								
20099,Me sinto iludida obg dnd vida	Neutro								
15762,Pés? Não sei se ainda tenho	Neutro								
9754,YAAAAAAAS WERRRRKKKKK	Neutro								
12315,Esse é meu amigo atacando com verdades https://t.co/lNcMHFey6w	Bom								
1336,Twitter ta amorzinho de novo &lt	Bom								
"15881,""ele me lembra muito o bambam, ainda mais com o cabelo prata/branco aaaaa https://t.co/fMzsc8HtMR"""	Bom								
"17491,""sintonia com alguém é uma coisa incrível, passe o tempo que for quando volta é como se nunca tivesse saído 💜"""	Bom								
22342,Propaganda chata da Tele Sena com essa atriz da globo q namora o Thiaguinho que canta pagode	Ruim								
3247,Jaime pessoa mais inútil #GameOfThrones	Ruim								
21367,É mesmo https://t.co/Hd4YojndkK	Ruim								
12903,amei a Mylena e a Bia Nunes	Bom								
12047,Meu que ep foda	Bom								
7844,@5SOS Num me arrasa caralho	Ruim								
21724,Não existe coisa mas GOXXXTOSA Elderly and baby ❤ https://t.co/FeOIrUaQAq	Bom								
20242,#Rodrigo e #MiltonMendes conseguiram fazer mais feio do que #Vasco e #PontePreta durante os 90 minutos.	Ruim								
14611,Me realizing that @TomHolland1996 doesn't do a live stream since years ☹️ https://t.co/18vo7dKUOO	Ruim								
"15115,""You're just everything to me! I'm very proud to be your fan @dinahjane97 Follow me and fulfill my dream, I beg you please. x225"""	Bom								
4208,ARYAAAAAAAAA	Neutro								
21717,não sei vocês mas eu fico incomodado deixando mensagens acumuladas no whats	Ruim								
"20772,""Amo fazer negócios com a Fabíola, eu consigo as coisas pra ela e ela me retribui daora"""	Bom								
"19173,""Horrível estar em grupo de GTA hetero no wpp, sou zoado de 2 em 2 semanas AAAA"""	Ruim								
859,Mas dramática que a Ellen não tem	Ruim								
6555,MT bom não sentir mais nada por quem já t fez mt mal	Bom								
13306,nada melhor q a paciência para te mostrar que algumas coisas não mudam com o tempo https://t.co/qOb2DphmD5	Bom								
"8471,""vou falar q está doendo muito, tá machucando.. eu fui atras, fui atras por amor, mas já chega, eu n aguento mais !!!!!!"""	Ruim								
14974,Eu sou mt cheirosa mdssss	Bom								
15404,@mairaladeia mad king would be proud	Neutro								
15779,1o youtuber de macaé a bater 1M ??	Neutro								
21544,sofri que só a porra agora pra depilar minha axila com cera vsf	Ruim								
"14826,""Sobre a pessoa marca de me ver e n ir, ja me acostumei....  Kkk"""	Ruim								
13968,eu fico triste pq eu gosto da relação do tyrion com o jaime mas porra jaime vc so fode seu bosta	Ruim								
20871,@clara_116 to boladão	Ruim								
5769,MISSANDEI COM CARA DE DEBOCHE KKKKKK adorei #GotS7 #GameOfThrones	Bom								
22892,Eu tb https://t.co/vuVrlfyUKv	Ruim								
"19432,""Querido,pra mim ser legal com vc vc tbm tem q ser legal cmg, se não nada feito"""	Neutro								
21052,tem amizades que nao tem gente mesmo que tu tente nao volta a ser que nem antes	Ruim								
12372,q ódio	Neutro								
3152,Com certeza a melhor pessoa da vida ❤	Bom								
22766,bicho eu só queria alguém pra usar metadinha muke cmg	Ruim								
20232,essas fitas acabam comigo puta merda	Ruim								
"3156,""sem exagero, vc sabe qual calor eu prefiro"""	Neutro								
"22152,""Acho que eu tô contando os dias pro show do 5SOS em sp errado , pq acabei de ver alguém contando 39 dias , eu contei 37"""	Neutro								
"9577,""You're just everything to me! I'm very proud to be your fan @dinahjane97 Follow me and fulfill my dream, I beg you please. x190"""	Bom								
16971,Fuizzzz	Neutro								
5283,ai socorro https://t.co/xIWcv3DvXz	Neutro								
"12622,""Nem conheço esse Roberto mas já considero ele pakas, melhor Roberto do que Marcel não é msm?"""	Bom								
12980,@kaizque @lucasfiguere_ @Ebrodare Foi lá e PA 💥	Neutro								
1518,as pessoas so me passam raiva pqp	Ruim								
12411,VAI TOMAR NO CU	Ruim								
3396,@ifavoritekordei este argumento q elas são only uk é tão saturado bicho	Ruim								
"10340,""@lik3asunburn nossa eu queria, dedicar umas música p pessoa, ficar de graça, SDDS"""	Bom								
12686,@_givitoria @joysmattos @carolinanunex Vamooooos	Bom								
11499,@CasottiMateus é foi mal a vergonha ai com sua dama por minha culpa kkkk	Ruim								
17226,BURN THEM ALL	Ruim								
3110,Meu pai acabou de me ligar por causa das minhas respostas do Sarahah que eu tô' postando no Facebook.	Neutro								
2448,O novo técnico do Flamengo é o Senhor Waldemar.	Neutro								
20410,@bruspfcb Boa noite!	Bom								
21877,Tá doendo sim 💔	Ruim								
14742,Assume tuas cagada e não joga pra mim	Ruim								
7629,Nx vê todo mundo e ninguém vê nx 👀	Neutro								
10783,SE EU FOSSE O DRAGÃO EU SAIRIA MIJANDO FOGO EM GERAL	Neutro								
20344,e tbm volto para a dieta e academia	Bom								
"8659,""You're just everything to me! I'm very proud to be your fan @dinahjane97 Follow me and fulfill my dream, I beg you please. x151"""	Bom								
3495,qe essa benção caia em mim amém https://t.co/jtsQNUhfGN	Bom								
"15903,""me sinto tão mais leve, qndo todas as palavras que saem da mh boca traduzem exatamente o que sinto/penso,"""	Bom								
20001,medo de spoiler	Ruim								
8448,Não entendo como uma pessoa atropela alguem e simplesmente foge... tiraram foto da placa do carro e deram a polícia...	Ruim								
"11074,""Seja para mim o que você quiser, contato que seja o meu amor , sorrindo indo te buscar, mas eu tô a pé 🎶"""	Neutro								
13483,não tô preparada pra enfrentar a realidade e rotina dessa semana	Ruim								
5353,Aí sai de perto de mim	Ruim								
14659,gold jewelry shining so bright	Neutro								
3239,#IveteAvontade estamos em 4 hahahhaha https://t.co/flS9xIrEP0	Bom								
9089,Ae senhor me de paciência	Ruim								
7584,nada dms	Neutro								
21429,Eu tenho o melhor amigo do mundo ❤️	Bom								
9514,espero amanhã acordar bem calminha rss	Bom								
19092,O segredo da felicidade é ser feliz em segredo.	Bom								
22497,Essas musicas da anahi acaba cmg	Ruim								
7882,A conexão com as meninas é tão forte que se uma tomar 1tiro n duvido q as outras sintam	Ruim								
10180,VIAAAADO EU TO GRITANDO COM ESSE EPISODIOOO	Neutro								
14623,ainda n fui nem um dia p facul e quando planejo ir meus amigos querem me arrastar p taguá	Ruim								
"9148,""Se acabou um relacionamento deixa a mina seguir a vida dela, dica do dia"""	Bom								
"19344,""Psst. Yeah, you. Searching for a song to add that much-needed perspective to the week just ended, so you can try and make sense of it all?"""	Neutro								
"14406,""Papai do céu, apenas obrigada !!!!!!"""	Bom								
"10248,""Amor sincero puro e verdadeiro, aquele amor que eu quero o tempo inteiro.."""	Neutro								
19437,eu gosto tanto de grey's mas é só desgraça na série	Ruim								
21144,Como pode um ser tão tosco e fofo como o Sherlock?	Neutro								
12354,KKKKKKKKKKKK  #askbelieber https://t.co/5MwCjiwNiT	Bom								
"8555,""Minha cabeça tá só """"Do it do it do it do it do it do it"""" Walk On Memories hino assim como todas as outras de The War"""	Neutro								
81,se minha mãe fosse legal eu logo ia fazer uma social aqui em casa	Ruim								
4161,DEIXA ELA ENTRAR SEUS BANDO DE CUZAO	Ruim								
727,Vai pensando que é só o PSG que tá contratando... 😂😂 https://t.co/JByLTSDOnQ	Bom								
20281,TA CHHATOOOOOOOOOLOOO	Ruim								
22622,@runalinerun aaaa &lt	Neutro								
10360,OLHA O SPOILER FILH DA PUTA	Ruim								
11834,Eis o melhor episódio do got	Bom								
11811,@nsfMatios espero que eles ganhem mais notoriedade para descolarem uma grana e não terem que parar a banda	Bom								
1949,Desde sexta sem assistir grey's 😢	Ruim								
23230,tocou no rádio e ele amou.	Bom								
"1147,""hip hop in the summer, don't be a bummer babe, be my undercover lover baby"""	Neutro								
"12935,""Preocupadíssimo com o crédito bancário da Cersei depois desse episódio. Uma sugestão, minha rainha: @Crefisa."""	Neutro								
10497,eu tambemmm 😭😭 https://t.co/uwcHwyNc5b	Bom								
"22148,""""""Eu morei no Canadá já!e em Los Angeles !estudei interpretação em Los Angeles !"""" lê a nossa conversa de novo, pq eu juro q ñ te perguntei nd"""	Neutro								
"20915,""@gabrield93 @mundodeandy @jnflesch Lollapalooza todo ano e rendendo boa audiência, ameaçando um line up forte ainda… https://t.co/Ib7piHW61B"""	Bom								
8832,O Theon não tem moral nenhuma com ninguém mano	Ruim								
12860,@RabaDeOuro manda umas agora com fogo na Raba	Neutro								
11450,Eu nunca vou conseguir resolver se amo ou odeio ser leonina	Neutro								
14789,Ta chegandook https://t.co/ECLrsPR1Pt	Bom								
3506,Quero deitar mas tenho Q esperar minha unha secar	Ruim								
8203,Meus bebês https://t.co/dO7olqagF3	Bom								
382,E ESSA ENCARADA DO SCOTT NA MALIA AAAAAA TÁ CHEGANDO MEU SHIP AMORES  #teenwolf	Bom								
"5948,""@silviaama38 @_anaclaralm @giubst Eu tentei, mas o Gil não se prestava p nada ksodkofddko"""	Neutro								
"7190,""bem que minha família podia ser menos lgbtfóbica, né"""	Ruim								
21713,Eu achei que não dava pro Toby ficar mais bonito. Aí ele me aparece de barba. SENHOR	Bom								
"19103,""arroz: do canto, de baixo pra cima."""	Neutro								
14205,Tem algo mais purificante do que dormir ao som desse mestre da música?!	Bom								
"7430,""hahahahaha. Estao pedindo o Felipe  melo, mal sabem que ele vai ser banco do Márcio Araújo. https://t.co/Qb4VKwfpR8"""	Ruim								
1372,Coisas que somos obrigadas a ler por apenas enxergar 😂👌 https://t.co/aIiiW0xlIq	Neutro								
17174,Miseravi https://t.co/kr426VR8qu	Neutro								
13328,Agora vamos as próximas 500 teorias que aparecerão até domingo que vem.	Neutro								
"10162,""Apenas porque umas 4 pessoas da área se especializaram em fotografia e fazem um extra com isso. "	Neutro								
									
"Sei lá, é uma opção, mas..."""	Neutro								
"11421,""NÃO TO COM ESSA DISPONIBILIDADE"	Ruim								
									
"cheio de coisa pra fazer amanhã"""	Ruim								
